QUESTION,BT LEVEL,BT LEVEL (REVISED)
"Assume that you have been assigned to run a Google Ads search advertising campaign for a new café in Kampar, Perak. Recommend FIVE (5) strategies to develop a successful search advertising campaign for the café.",Synthesis,Create
Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging. ,Synthesis,Create
You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users. ,Synthesis,Create
E-mail newsletters are still popular communication strategy for digital marketers. Suggest FIVE (5) ways to engage with your newsletters subscribers. ,Synthesis,Create
Describe the THREE (3) roles for social media in branding.,Knowledge,Remember
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",Comprehension,Understand
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,Comprehension,Understand
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,Comprehension,Understand
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,Analysis,Analyze
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",Comprehension,Understand
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,Comprehension,Understand
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,Comprehension,Understand
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,Analysis,Analyze
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,Comprehension,Understand
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analysis,Analyze
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,Comprehension,Understand
Differentiate between general controls and application controls. Provide ONE (1) example for each. ,Analysis,Analyze
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,Comprehension,Understand
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,Comprehension,Understand
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Comprehension,Understand
Define Information Systems (IS). ,Knowledge,Remember
Discuss in details what Accounting Information Systems (AIS) is. ,Comprehension,Understand
State TWO (2) subsystems of AIS. ,Knowledge,Remember
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,Comprehension,Understand
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,Comprehension,Understand
